school_state,resource_type,poverty_level,date_posted,total_donations,num_projects,grade_level
CA,Books,high,2010-10-25,541.32,1,Grades PreK-2
CA,Books,high,2010-10-23,343.13,1,Grades PreK-2
CA,Books,high,2010-10-23,343.13,1,Grades PreK-2
CA,Books,high,2010-10-23,343.13,1,Grades PreK-2
CA,Books,high,2010-10-23,343.13,1,Grades PreK-2
CA,Supplies,high,2010-10-14,386.31,1,Grades PreK-2
CA,Supplies,high,2010-10-14,386.31,1,Grades PreK-2
CA,Supplies,high,2010-10-14,386.31,1,Grades PreK-2
CA,Supplies,high,2010-10-14,386.31,1,Grades PreK-2
CA,Books,high,2010-10-20,313.47,2,Grades 3-5
CA,Books,high,2010-10-20,313.47,1,Grades 3-5
CA,Other,high,2010-10-30,493.09,1,Grades PreK-2
CA,Books,low,2010-10-20,950.67,1,Grades 6-8
CA,Technology,high,2010-09-20,135.0,1,Grades 9-12
CA,Books,high,2010-10-31,437.89,1,Grades 3-5
CA,Supplies,high,2010-10-16,410.53,1,Grades 3-5
CA,Technology,high,2010-10-15,480.02,1,Grades 9-12
CA,Supplies,high,2010-10-14,371.36,1,Grades PreK-2
CA,Technology,high,2010-06-28,2853.89,1,Grades PreK-2
CA,Technology,high,2010-06-28,2853.89,1,Grades PreK-2
CA,Technology,high,2010-06-28,2853.89,1,Grades PreK-2
CA,Technology,high,2010-06-28,2853.89,1,Grades PreK-2
CT,Technology,high,2010-06-28,2853.89,1,Grades PreK-2
LA,Technology,high,2010-06-28,2853.89,1,Grades PreK-2
NY,Technology,high,2010-06-28,2853.89,1,Grades PreK-2
CA,Technology,low,2010-07-24,145.0,1,Grades PreK-2
CA,Books,low,2010-10-15,410.25,1,Grades 6-8
CA,Supplies,high,2010-10-22,553.42,1,Grades 9-12
CA,Supplies,high,2010-07-24,455.26,1,Grades PreK-2
CA,Technology,high,2010-08-23,583.65,1,Grades 3-5
CA,Other,high,2010-09-19,555.5,1,Grades 6-8
CA,Technology,low,2010-09-05,402.04,1,Grades PreK-2
CA,Books,high,2010-09-20,669.24,1,Grades PreK-2
CA,Supplies,high,2010-10-21,874.87,1,Grades 9-12
CA,Supplies,high,2010-10-25,537.19,1,Grades 3-5
CA,Supplies,high,2010-06-21,509.76,2,Grades 3-5
CA,Supplies,high,2010-06-21,509.76,1,Grades 3-5
CA,Supplies,high,2010-09-30,325.0,1,Grades 9-12
CA,Technology,high,2010-10-27,50.0,1,Grades 9-12
CA,Supplies,high,2010-09-05,444.69,1,Grades 9-12
CA,Supplies,high,2010-09-23,379.84,1,Grades PreK-2
CA,Technology,high,2010-10-15,179.18,1,Grades PreK-2
CA,Technology,high,2010-10-15,179.18,1,Grades PreK-2
CA,Other,minimal,2010-10-25,499.93,1,Grades 6-8
CA,Supplies,low,2010-10-20,565.18,1,Grades 3-5
AZ,Technology,low,2010-09-20,413.52,1,Grades 9-12
CA,Supplies,high,2010-10-25,609.2,1,Grades 9-12
NJ,Supplies,high,2010-06-06,155.0,1,Grades 9-12
